Data,ConsumoLitros,Moradores,Temperatura_C,Mes,DiaSemana,ConsumoPorPessoa
2024-01-01,274.84,3,26.4,January,Monday,91.61
2024-01-02,243.09,2,34.3,January,Tuesday,121.54
2024-01-03,282.38,3,30.2,January,Wednesday,94.13
2024-01-04,326.15,3,36.3,January,Thursday,108.72
2024-01-05,238.29,5,33.6,January,Friday,47.66
2024-01-06,238.29,2,20.0,January,Saturday,119.14
2024-01-07,328.96,5,32.3,January,Sunday,65.79
2024-01-08,288.37,2,30.8,January,Monday,144.18
2024-01-09,226.53,2,26.8,January,Tuesday,113.26
2024-01-10,277.13,4,22.3,January,Wednesday,69.28
2024-01-11,226.83,2,30.4,January,Thursday,113.42
2024-01-12,226.71,5,19.7,January,Friday,45.34
2024-01-13,262.1,3,27.9,January,Saturday,87.37
2024-01-14,154.34,2,25.5,January,Sunday,77.17
2024-01-15,163.75,4,23.0,January,Monday,40.94
2024-01-16,221.89,5,32.8,January,Tuesday,44.38
2024-01-17,199.36,2,27.8,January,Wednesday,99.68
2024-01-18,265.71,5,28.7,January,Thursday,53.14
2024-01-19,204.6,4,31.6,January,Friday,51.15
2024-01-20,179.38,4,28.0,January,Saturday,44.84
2024-01-21,323.28,5,29.8,January,Sunday,64.66
2024-01-22,238.71,2,31.3,January,Monday,119.36
2024-01-23,253.38,3,30.3,January,Tuesday,84.46
2024-01-24,178.76,4,29.1,January,Wednesday,44.69
2024-01-25,222.78,2,35.1,January,Thursday,111.39
2024-01-26,255.55,2,33.0,January,Friday,127.78
2024-01-27,192.45,3,27.7,January,Saturday,64.15
2024-01-28,268.78,4,24.4,January,Sunday,67.19
2024-01-29,219.97,4,30.6,January,Monday,54.99
2024-01-30,235.42,2,28.9,January,Tuesday,117.71
2024-01-31,219.91,2,34.8,January,Wednesday,109.96
2024-02-01,342.61,3,31.9,February,Thursday,114.2
2024-02-02,249.33,3,31.1,February,Friday,83.11
2024-02-03,197.11,4,28.1,February,Saturday,49.28
2024-02-04,291.13,5,24.5,February,Sunday,58.23
2024-02-05,188.96,4,27.2,February,Monday,47.24
2024-02-06,260.44,2,29.9,February,Tuesday,130.22
2024-02-07,152.02,4,21.1,February,Wednesday,38.01
2024-02-08,183.59,5,33.0,February,Thursday,36.72
2024-02-09,259.84,3,36.3,February,Friday,86.61
2024-02-10,286.92,5,20.2,February,Saturday,57.38
2024-02-11,258.57,5,22.4,February,Sunday,51.71
2024-02-12,244.22,5,28.9,February,Monday,48.84
2024-02-13,234.94,3,25.7,February,Tuesday,78.31
2024-02-14,176.07,5,29.0,February,Wednesday,35.21
2024-02-15,214.01,5,27.7,February,Thursday,42.8
